Name,Price Change (5m),Price Change (1h),Volume (5m),Volume (1h),ATH,Total Replies,Total Holders,TH 10 (%),TH 20 (%),Top 5 Holders,Total Trades (1h),Buys (1h),Sells (1h),Makers (1h),Market Cap
smol banana,-14,111,5784.1,17375.08,8308,19,52,25.05,33.56,4.02 | 3.16 | 2.82 | 2.77 | 2.60,352,195,157,148,"8,308.36"
GIGANAN,20,97,5428.18,8761.5,7015,32,51,17.17,24.76,2.85 | 1.95 | 1.88 | 1.87 | 1.86,415,233,182,99,7015.63
Bwack 2 FWIPPING,32,93,1996.42,4200.33,7046,15,31,20.2,30.67,2.36 | 2.30 | 2.26 | 2.26 | 2.04,456,299,157,44,7046.15
50 Cent Down Brother,25,101,4957.6,10425.52,9227,37,41,24.59,37.72,3.23 | 3.18 | 2.84 | 2.79 | 2.31,240,139,101,84,9227.55
chicken banana chicken banana,6,102,1556.88,6794.9,8463,38,30,25.42,38.03,3.08 | 2.81 | 2.64 | 2.55 | 2.50,236,133,103,55,"8,463.58"
Terminal of Pwease,10,95,3532.83,6190.69,7383,17,32,24.23,31.69,3.62 | 3.19 | 2.48 | 2.38 | 2.29,340,185,155,62,7383.74
Chewbacca Cat,87,125,5637.55,8985.19,7419,13,29,26.34,33.42,3.59 | 3.58 | 3.15 | 2.82 | 2.76,170,97,73,81,7419.95
Dog in Computer,99,132,4099.91,5800.56,7985,16,34,22.9,35.32,3.53 | 3.12 | 2.48 | 2.38 | 2.15,215,122,93,55,7985.96
Bwanana,-4,,11666.09,,11069,7,44,24.27,39.33,3.20 | 2.73 | 2.71 | 2.52 | 2.45,95,73,22,56,11069.19
Black Banana Coin,0,69,1532.38,7259.87,7091,23,20,27.08,33.04,3.91 | 3.78 | 3.27 | 3.25 | 2.81,167,94,73,58,7091.66
Ultra Safe Banana,36,94,3719.34,9179.47,7373,17,34,23.48,31.72,3.65 | 2.85 | 2.66 | 2.66 | 2.59,306,170,136,82,7373.73
Computism,103,,7160.82,,7778,15,58,17.73,27.42,2.42 | 2.09 | 1.92 | 1.91 | 1.86,239,147,92,98,7778.69
